Uniprot Accession,Description,Gene name,# Peptides,# Unique Peptides,M1 / Ref_2965_Mito,M2 / Ref_2965_Mito,M3 / Ref_2965_Mito,M4 / Ref_2965_Mito,M5 / Ref_2965_Mito,M6 / Ref_2965_Mito,M7 / Ref_2965_Mito,M8 / Ref_2965_Mito,M9 / Ref_2965_Mito,Subcellular location [CC],Gene ontology (cellular component),Sequence Coverage [%],# PSMs
P06208,2-isopropylmalate synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LEU4 PE=1 SV=1,LEU4,40,26,0.523,0.465,0.413,1.34,1.325,1.609,0.99,1.279,1.698,Isoform Mitochondrial: Mitochondrion.;Isoform Cytoplasmic: Cytoplasm.,mitochondrion [GO:0005739];cytoplasm [GO:0005737],57,211
P07257,"Cytochrome b-c1 complex subunit 2, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=QCR2 PE=1 SV=1",QCR2,32,32,0.536,0.462,0.428,1.668,1.651,1.865,1.115,1.484,1.973,Mitochondrion inner membrane {ECO:0000269|PubMed:11502169}. Mitochondrion intermembrane space {ECO:0000269|PubMed:22984289}.,mitochondrial intermembrane space [GO:0005758];mitochondrial respiratory chain complex III [GO:0005750];mitochondrion [GO:0005739];mitochondrial crista [GO:0030061],69,207
P02994,Elongation factor 1-alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TEF1 PE=1 SV=1,TEF2;TEF1,32,32,1.048,1.218,1.202,0.766,0.764,0.577,0.799,0.658,0.524,"Cytoplasm {ECO:0000269|PubMed:14562095}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:14562095}.",cytoskeleton [GO:0005856];eukaryotic translation elongation factor 1 complex [GO:0005853];fungal-type vacuole membrane [GO:0000329];mitochondrion [GO:0005739];ribosome [GO:0005840];cytoplasm [GO:0005737],65,205
P36775,"Lon protease homolog, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PIM1 PE=1 SV=2",PIM1,73,73,0.777,0.703,0.606,1.256,1.173,1.422,1.235,1.611,2.06,"Mitochondrion matrix {ECO:0000255|HAMAP-Rule:MF_03120, ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:9405361}.",mitochondrial matrix [GO:0005759],55,202
P00560,Phosphoglycerate kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PGK1 PE=1 SV=2,PGK1,42,42,1.459,1.07,1.751,0.538,0.472,0.393,0.796,0.676,0.517,Cytoplasm {ECO:0000269|PubMed:11502169}. Mitochondrion {ECO:0000269|PubMed:16823961}.,mitochondrion [GO:0005739];cytoplasm [GO:0005737],87,201
P16547,Mitochondrial outer membrane protein OM45 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=OM45 PE=1 SV=2,OM45,46,46,0.268,0.252,0.215,1.323,1.04,1.263,1.126,1.493,1.666,Mitochondrion outer membrane {ECO:0000269|PubMed:11502169}.,mitochondrial outer membrane [GO:0005741];mitochondrion [GO:0005739];integral component of mitochondrial outer membrane [GO:0031307],66,193
P18239,"ADP,ATP carrier protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PET9 PE=1 SV=2",PET9,26,17,0.573,0.5,0.494,1.532,1.547,1.739,1.027,1.346,1.637,Multi-pass membrane protein {ECO:0000269|PubMed:24474793}.;Mitochondrion inner membrane,mitochondrial inner membrane [GO:0005743];integral component of membrane [GO:0016021],55,188
P46367,"Potassium-activated aldehyde dehydrogenase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ALD4 PE=1 SV=2",ALD4,34,32,0.226,0.219,0.21,2.01,1.99,2.28,0.667,1.421,1.775,Mitochondrion matrix {ECO:0000269|PubMed:11502169}.,mitochondrion [GO:0005739];mitochondrial nucleoid [GO:0042645],69,186
Q01217,"Protein ARG5,6, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARG5,6 PE=1 SV=1","ARG5,6",50,50,0.675,0.611,0.507,1.171,1.187,1.397,1.026,1.234,1.585,Mitochondrion.,mitochondrial matrix [GO:0005759],58,182
P00890,"Citrate synthase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CIT1 PE=1 SV=2",CIT1,26,24,0.275,0.235,0.237,1.734,1.736,2.033,0.971,1.435,1.654,Mitochondrion matrix {ECO:0000269|PubMed:11502169}.,mitochondrial intermembrane space [GO:0005758];mitochondrial matrix [GO:0005759];mitochondrion [GO:0005739];cytosol [GO:0005829],48,180
P09624,"Dihydrolipoyl dehydrogenase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LPD1 PE=1 SV=1",LPD1,40,40,0.445,0.387,0.347,1.316,1.174,1.405,0.824,1.131,1.38,Mitochondrion matrix.,mitochondrial nucleoid [GO:0042645];mitochondrial oxoglutarate dehydrogenase complex [GO:0009353];mitochondrial pyruvate dehydrogenase complex [GO:0005967];glycine cleavage complex [GO:0005960],74,178
P33416,"Heat shock protein 78, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HSP78 PE=1 SV=2",HSP78,56,55,0.58,0.59,0.422,1.145,1.009,1.226,1.147,1.507,1.855,"Mitochondrion matrix {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278, ECO:0000269|PubMed:8413229, ECO:0000269|PubMed:8830768}.",mitochondrial matrix [GO:0005759],62,178
Q00955,Acetyl-CoA carboxylase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ACC1 PE=1 SV=2,ACC1,93,89,0.993,1.003,1.174,1.023,1.159,1.182,0.81,0.939,0.881,Cytoplasmic side.;Peripheral membrane protein;Cytoplasm. Endoplasmic reticulum membrane,endoplasmic reticulum membrane [GO:0005789];acetyl-CoA carboxylase complex [GO:0009317],51,176
P00359,Glyceraldehyde-3-phosphate dehydrogenase 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TDH3 PE=1 SV=3,TDH3,30,7,1.689,1.085,1.562,0.616,0.55,0.502,0.836,0.779,0.646,Cytoplasm {ECO:0000269|PubMed:11502169}. Mitochondrion {ECO:0000269|PubMed:16823961}.,fungal-type cell wall [GO:0009277];lipid droplet [GO:0005811];mitochondrion [GO:0005739];cytosol [GO:0005829],80,174
P00358,Glyceraldehyde-3-phosphate dehydrogenase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TDH2 PE=1 SV=3,TDH2,27,4,1.946,1.31,1.721,0.44,0.413,0.401,0.706,0.648,0.561,Cytoplasm.,fungal-type cell wall [GO:0009277];lipid droplet [GO:0005811];mitochondrion [GO:0005739];cytosol [GO:0005829],72,170
P39522,"Dihydroxy-acid dehydratase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ILV3 PE=1 SV=2",ILV3,32,32,0.886,0.765,0.646,0.696,0.688,0.793,0.939,1.124,1.343,Mitochondrion.,mitochondrion [GO:0005739],59,168
P04840,Mitochondrial outer membrane protein porin 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=POR1 PE=1 SV=4,POR1,24,24,0.423,0.388,0.376,1.126,1.168,1.3,0.844,1.174,1.51,Mitochondrion outer membrane.,mitochondrial intermembrane space [GO:0005758];mitochondrial outer membrane [GO:0005741];mitochondrion [GO:0005739];pore complex [GO:0046930];integral component of mitochondrial outer membrane [GO:0031307],87,168
P20967,"2-oxoglutarate dehydrogenase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=KGD1 PE=1 SV=2",KGD1,41,41,0.297,0.274,0.243,1.473,1.444,1.75,0.966,1.373,1.739,"Mitochondrion matrix. Mitochondrion matrix, mitochondrion nucleoid.",mitochondrial oxoglutarate dehydrogenase complex [GO:0009353];mitochondrial nucleoid [GO:0042645],48,167
P10592,Heat shock protein SSA2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SSA2 PE=1 SV=3,SSA2,43,10,1.585,1.583,1.802,0.623,0.625,0.549,1.127,0.893,0.793,"Cytoplasm. Secreted, cell wall.",cytosol [GO:0005829];extracellular region [GO:0005576];fungal-type cell wall [GO:0009277];fungal-type vacuole membrane [GO:0000329];mitochondrion [GO:0005739];polysome [GO:0005844];cytoplasm [GO:0005737],63,167
P10591,Heat shock protein SSA1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SSA1 PE=1 SV=4,SSA1,42,9,1.223,1.285,1.358,0.909,1.016,0.859,1.227,1.109,0.924,"Cytoplasm {ECO:0000269|PubMed:14562095}. Secreted, cell wall {ECO:0000269|PubMed:14562095}.",extracellular region [GO:0005576];fungal-type cell wall [GO:0009277];fungal-type vacuole membrane [GO:0000329];nucleus [GO:0005634];polysome [GO:0005844];cytoplasm [GO:0005737],64,166
Q12428,Probable 2-methylcitrate dehydratase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PDH1 PE=1 SV=1,PDH1,30,30,0.239,0.202,0.222,1.873,1.938,2.341,0.834,1.368,1.539,,,59,166
P16474,78 kDa glucose-regulated protein homolog OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=KAR2 PE=1 SV=1,KAR2,47,44,1.703,1.577,1.651,0.977,0.855,0.667,1.316,0.964,0.595,"Endoplasmic reticulum lumen {ECO:0000255|PROSITE-ProRule:PRU10138, ECO:0000269|PubMed:2661018}.",luminal surveillance complex [GO:0034099];endoplasmic reticulum [GO:0005783],54,163
P07256,"Cytochrome b-c1 complex subunit 1, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=COR1 PE=1 SV=1",COR1,29,29,0.478,0.456,0.424,1.317,1.313,1.548,1.033,1.372,1.706,Mitochondrion inner membrane {ECO:0000269|PubMed:11502169}.,mitochondrion [GO:0005739];mitochondrial respiratory chain complex III [GO:0005750],64,162
P11484,Ribosome-associated molecular chaperone SSB1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SSB1 PE=1 SV=3,SSB1,37,2,1.194,1.393,1.376,0.549,0.708,0.635,1.076,0.84,0.879,"Cytoplasm {ECO:0000269|PubMed:10347213, ECO:0000269|PubMed:23332755, ECO:0000305|PubMed:1394434}. Note=About 50% of the protein is associated with translating ribosomes, but sufficient Ssb exists in the cell for each ribosome to be associated with at least one Ssb molecule. {ECO:0000269|PubMed:1394434, ECO:0000269|PubMed:23332755, ECO:0000269|PubMed:9670014}.",polysome [GO:0005844];cytoplasm [GO:0005737],59,155
P39533,"Homocitrate dehydratase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ACO2 PE=1 SV=1",ACO2,44,42,0.833,0.769,0.618,0.777,0.771,0.892,1.005,1.191,1.554,"Mitochondrion {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278}.",mitochondrion [GO:0005739],53,155
P40150,Ribosome-associated molecular chaperone SSB2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SSB2 PE=1 SV=2,SSB2,38,3,1.278,1.412,1.388,0.562,0.87,0.694,1.019,0.843,0.805,"Cytoplasm {ECO:0000269|PubMed:23332755, ECO:0000305|PubMed:1394434}. Note=About 50% of the protein is associated with translating ribosomes, but sufficient Ssb exists in the cell for each ribosome to be associated with at least one Ssb molecule. {ECO:0000269|PubMed:1394434, ECO:0000269|PubMed:23332755, ECO:0000269|PubMed:9670014}.",polysome [GO:0005844];cytoplasmic stress granule [GO:0010494],59,154
P16521,Elongation factor 3A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YEF3 PE=1 SV=4,YEF3,47,37,1.439,1.615,1.625,0.653,0.728,0.652,1.001,0.775,0.614,Cytoplasm {ECO:0000269|PubMed:14562095}.,cytosolic ribosome [GO:0022626];polysomal ribosome [GO:0042788];ribosome [GO:0005840];cytoplasmic stress granule [GO:0010494],41,154
P07259,Protein URA2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=URA2 PE=1 SV=5,URA2,85,82,1.544,1.446,1.707,0.673,0.746,0.674,0.848,0.786,0.668,"Cytoplasm {ECO:0000269|PubMed:11015727, ECO:0000269|PubMed:14562095}.",integral component of membrane [GO:0016021];cytoplasm [GO:0005737],40,154
P06105,Protein SCP160 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SCP160 PE=1 SV=3,SCP160,81,81,0.982,1.464,1.198,0.804,0.705,0.612,1.231,0.949,0.864,Cytoplasmic side. Note=Attached to the cytoplasmic surface of the ER-nuclear envelope membranes.;Cytoplasmic side. Nucleus membrane;Peripheral membrane protein;Endoplasmic reticulum membrane,"cytoplasm [GO:0005737];endoplasmic reticulum [GO:0005783];endoplasmic reticulum membrane [GO:0005789];nuclear membrane [GO:0031965];nuclear outer membrane-endoplasmic reticulum membrane network [GO:0042175];polysome [GO:0005844];chromosome, telomeric region [GO:0000781]",62,153
P21954,"Isocitrate dehydrogenase [NADP], mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IDP1 PE=1 SV=1",IDP1,37,32,0.837,0.746,0.617,1.149,1.146,1.428,1.075,1.372,1.762,Mitochondrion.,mitochondrion [GO:0005739];mitochondrial nucleoid [GO:0042645],84,151
P32324,Elongation factor 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=EFT1 PE=1 SV=1,EFT2;EFT1,44,44,1.455,1.424,1.499,0.658,0.707,0.634,0.883,0.756,0.597,Cytoplasm {ECO:0000269|PubMed:14562095}.,cytosol [GO:0005829],53,148
Q00711,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SDH1 PE=1 SV=1",SDH1,31,26,0.269,0.255,0.246,1.38,1.575,1.721,0.941,1.289,1.749,Matrix side {ECO:0000269|PubMed:11502169}.;Peripheral membrane protein {ECO:0000269|PubMed:11502169};Mitochondrion inner membrane {ECO:0000269|PubMed:11502169},"mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone) [GO:0005749];mitochondrion [GO:0005739];mitochondrial membrane [GO:0031966]",53,147
P32191,"Glycerol-3-phosphate dehydrogenase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GUT2 PE=1 SV=2",GUT2,46,46,0.209,0.186,0.196,1.512,1.485,1.797,0.807,1.238,1.507,Mitochondrion inner membrane {ECO:0000269|PubMed:11502169}. Mitochondrion intermembrane space {ECO:0000269|PubMed:22984289}.,integral component of mitochondrial outer membrane [GO:0031307];mitochondrial inner membrane [GO:0005743];mitochondrial intermembrane space [GO:0005758];mitochondrion [GO:0005739];glycerol-3-phosphate dehydrogenase complex [GO:0009331],65,143
P02992,"Elongation factor Tu, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TUF1 PE=1 SV=1",TUF1,28,28,0.595,0.547,0.506,1.25,1.232,1.469,1.083,1.37,1.903,"Mitochondrion {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278}.",mitochondrion [GO:0005739],74,142
P00927,"Threonine dehydratase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ILV1 PE=1 SV=2",ILV1,36,36,0.856,0.784,0.676,0.817,0.798,0.967,0.948,1.09,1.418,"Mitochondrion {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278}.",mitochondrion [GO:0005739],73,140
P32891,"D-lactate dehydrogenase [cytochrome] 1, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DLD1 PE=1 SV=2",DLD1,37,37,0.694,0.612,0.543,1.18,1.106,1.343,1.186,1.558,1.926,Mitochondrion inner membrane {ECO:0000269|PubMed:11502169}.,mitochondrial intermembrane space [GO:0005758];mitochondrion [GO:0005739];mitochondrial inner membrane [GO:0005743],64,132
P00925,Enolase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ENO2 PE=1 SV=2,ENO2,27,11,1.582,1.396,1.54,0.426,0.45,0.432,0.904,0.781,0.645,Cytoplasm.,fungal-type vacuole [GO:0000324];mitochondrion [GO:0005739];phosphopyruvate hydratase complex [GO:0000015];cytoplasmic side of plasma membrane [GO:0009898],61,131
Q12166,"2-isopropylmalate synthase 2, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LEU9 PE=1 SV=1",LEU9,33,19,0.967,0.846,0.695,0.775,0.761,0.922,1.04,1.224,1.566,"Mitochondrion {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:16823961}.",mitochondrion [GO:0005739],58,130
P16387,"Pyruvate dehydrogenase E1 component subunit alpha, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PDA1 PE=1 SV=2",PDA1,29,29,0.757,0.707,0.582,1.057,1.076,1.295,1.043,1.31,1.671,Mitochondrion matrix.,mitochondrial pyruvate dehydrogenase complex [GO:0005967];mitochondrion [GO:0005739];mitochondrial nucleoid [GO:0042645],61,130
P53312,"Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LSC2 PE=1 SV=1",LSC2,34,34,0.396,0.359,0.318,1.429,1.426,1.688,0.828,1.259,1.622,"Mitochondrion {ECO:0000255|HAMAP-Rule:MF_03219, ECO:0000269|PubMed:14576278}.",mitochondrion [GO:0005739],75,129
P25694,Cell division control protein 48 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CDC48 PE=1 SV=3,CDC48,49,49,1.281,1.326,1.402,1.073,1.095,0.951,1.172,1.08,0.86,Microsome {ECO:0000269|PubMed:11733065}. Endoplasmic reticulum {ECO:0000269|PubMed:21148305}. Cytoplasm {ECO:0000269|PubMed:21148305}. Note=Bound loosely to components of the microsomal fraction. {ECO:0000269|PubMed:11733065}.,cytosol [GO:0005829];Doa10p ubiquitin ligase complex [GO:0000837];endoplasmic reticulum membrane [GO:0005789];Hrd1p ubiquitin ligase ERAD-L complex [GO:0000839];nucleus [GO:0005634];RQC complex [GO:1990112];VCP-NPL4-UFD1 AAA ATPase complex [GO:0034098];Cdc48p-Npl4p-Vms1p AAA ATPase complex [GO:0036266],59,122
P07143,"Cytochrome c1, heme protein, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CYT1 PE=1 SV=1",CYT1,11,11,0.418,0.373,0.359,1.718,1.627,1.954,1.128,1.507,2.005,Intermembrane side.;Single-pass membrane protein;Mitochondrion inner membrane,integral component of membrane [GO:0016021];mitochondrial inner membrane [GO:0005743];mitochondrial intermembrane space [GO:0005758];mitochondrial respiratory chain [GO:0005746];mitochondrial respiratory chain complex III [GO:0005750];cytosol [GO:0005829],39,121
P00549,Pyruvate kinase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CDC19 PE=1 SV=2,CDC19,33,32,1.156,1.208,1.336,0.494,0.512,0.453,0.876,0.757,0.885,,cytoplasm [GO:0005737],59,121
P15108,ATP-dependent molecular chaperone HSC82 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HSC82 PE=1 SV=4,HSC82,41,7,1.596,1.548,1.912,0.748,0.79,0.835,0.907,0.943,0.771,Cytoplasm. Mitochondrion.,mitochondrion [GO:0005739],50,120
P02829,ATP-dependent molecular chaperone HSP82 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HSP82 PE=1 SV=1,HSP82,41,7,1.363,1.46,1.776,0.694,0.723,0.747,0.992,0.931,0.758,Cytoplasm {ECO:0000269|PubMed:14562095}.,cytoplasm [GO:0005737],46,120
Q04728,"Arginine biosynthesis bifunctional protein ArgJ, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARG7 PE=1 SV=1",ARG7,33,33,0.65,0.576,0.473,0.958,0.905,1.06,0.988,1.195,1.525,"Mitochondrion matrix {ECO:0000255|HAMAP-Rule:MF_03124, ECO:0000269|PubMed:14576278}.",mitochondrial matrix [GO:0005759],67,119
P17255,V-type proton ATPase catalytic subunit A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VMA1 PE=1 SV=3,VMA1,53,53,1.163,1.366,1.332,0.803,0.809,0.704,1.041,0.796,0.552,Endomembrane system {ECO:0000269|PubMed:14562095}. Vacuole membrane {ECO:0000305|PubMed:14562095}. Note=Membranes of various intracellular acidic compartments.,"fungal-type vacuole membrane [GO:0000329];plasma membrane [GO:0005886];vacuolar proton-transporting V-type ATPase, V1 domain [GO:0000221];endomembrane system [GO:0012505]",51,119
P05694,5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MET6 PE=1 SV=4,MET6,42,42,1.222,1.149,1.305,0.547,0.619,0.6,0.858,0.721,0.704,,extracellular region [GO:0005576];cytosol [GO:0005829],56,119
P40215,"External NADH-ubiquinone oxidoreductase 1, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NDE1 PE=1 SV=1",NDE1,34,33,0.533,0.487,0.447,1.324,1.301,1.632,0.957,1.174,1.475,Mitochondrion intermembrane space {ECO:0000269|PubMed:14576278}.,mitochondrion [GO:0005739];mitochondrial intermembrane space [GO:0005758],43,118
P07246,"Alcohol dehydrogenase 3, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADH3 PE=1 SV=2",ADH3,22,21,0.671,0.599,0.509,1.154,1.047,1.284,0.892,1.163,1.486,Mitochondrion matrix.,mitochondrial matrix [GO:0005759],46,118
P28834,"Isocitrate dehydrogenase [NAD] subunit 1, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IDH1 PE=1 SV=2",IDH1,23,23,0.395,0.363,0.31,1.391,1.321,1.633,0.945,1.322,1.699,Mitochondrion.,mitochondrial intermembrane space [GO:0005758];mitochondrial isocitrate dehydrogenase complex (NAD+) [GO:0005962];mitochondrial matrix [GO:0005759];mitochondrial nucleoid [GO:0042645];cytosol [GO:0005829],63,118
P19097,Fatty acid synthase subunit alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FAS2 PE=1 SV=2,FAS2,76,76,1.259,1.251,1.437,0.86,0.973,0.965,0.853,0.868,0.765,,fatty acid synthase complex [GO:0005835];cytosol [GO:0005829],42,117
P17505,"Malate dehydrogenase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MDH1 PE=1 SV=2",MDH1,20,20,0.314,0.293,0.262,1.293,1.254,1.463,0.999,1.379,1.862,Mitochondrion matrix {ECO:0000269|PubMed:11502169}.,mitochondrion [GO:0005739];mitochondrial matrix [GO:0005759],68,117
